number,value,datetime_start,datetime_complete,duration,params_V10,params_V11,params_V12,params_V15,params_V18,params_V3,params_V6,params_V9,system_attrs_fixed_params,state
94,0.0,2026-07-08 12:24:10.669322,2026-07-08 12:24:17.042044,0 days 00:00:06.372722,-433.4559688815103,-172.63170108840018,-965.2733931655681,-93.36948238966256,-392.3796707033979,-344.98392683200535,-86.11471436738896,918.9989382586662,,COMPLETE
95,0.0,2026-07-08 12:24:17.074663,2026-07-08 12:24:23.613661,0 days 00:00:06.538998,-327.5447216915114,-533.0271296879325,-924.3934994127377,250.64515214670678,-17.180753527876746,101.09037755126464,-243.74997340888368,676.3158298675844,,COMPLETE
96,0.0,2026-07-08 12:24:23.661641,2026-07-08 12:24:29.599942,0 days 00:00:05.938301,902.2078000672786,-217.92486019818392,205.7702337226515,175.52397595675149,-477.85753704417607,-300.2707983740344,-19.59857985830637,-580.6685231291035,,COMPLETE
97,0.0,2026-07-08 12:24:29.632606,2026-07-08 12:24:34.859853,0 days 00:00:05.227247,619.5327022975358,-452.90672596799016,-620.72938307387,-378.3062633349508,371.2781637368489,-113.73328042458421,-129.18538919816956,401.05086137272434,,COMPLETE
98,0.0,2026-07-08 12:24:34.899396,2026-07-08 12:24:40.111435,0 days 00:00:05.212039,-451.2873213780441,-623.845148926435,535.9399389990859,62.61881958571,103.5439259146865,-317.563508151126,-179.24250236610558,-8.78967221814299,,COMPLETE
99,0.0,2026-07-08 12:24:40.148331,2026-07-08 12:24:46.032911,0 days 00:00:05.884580,150.20697738333874,732.7880805479972,136.96598205290357,-283.07023207546536,152.86737143846884,133.08394498385786,344.2227363183849,883.6921693336178,,COMPLETE
100,0.0,2026-07-08 12:24:46.069466,2026-07-08 12:24:51.777172,0 days 00:00:05.707706,542.5286684231874,339.4065847759774,-464.4992236860526,-463.8333922089711,73.48509572978048,-69.76428849788711,-52.98394333929083,789.3180559119057,,COMPLETE
101,0.0,2026-07-08 12:24:51.816794,2026-07-08 12:24:56.759121,0 days 00:00:04.942327,-963.8812303444028,204.0889270899408,762.1954510899657,-32.30027019347992,-419.1012849101485,444.97498565278573,279.0738058609773,-874.0049710869939,,COMPLETE
102,0.0,2026-07-08 12:24:56.797401,2026-07-08 12:25:01.964744,0 days 00:00:05.167343,-829.1816072466194,83.52677000731535,-886.4554487809871,114.60399461945829,-482.65491021792934,476.2205968376278,174.10679282490787,-920.3852308494365,,COMPLETE
103,0.0,2026-07-08 12:25:02.003037,2026-07-08 12:25:07.097063,0 days 00:00:05.094026,-604.67527489947,134.2904844554041,877.877478321675,38.30361568924453,-337.57583459640364,312.5520771773125,398.36742168623834,178.8179075766827,,COMPLETE
104,0.0,2026-07-08 12:25:07.133931,2026-07-08 12:25:12.720697,0 days 00:00:05.586766,784.3630182536355,-259.7544643985732,-233.7625363127322,0.9538972921727186,-56.489517142544116,395.60297443157475,15.522695956747931,-498.88901005528385,,COMPLETE
105,0.0,2026-07-08 12:25:12.754436,2026-07-08 12:25:18.557610,0 days 00:00:05.803174,271.47960231185147,420.0515831969627,971.7735426662118,-54.50637599072671,-499.45614740094203,7.891885817117263,135.89902065225246,731.1904592739536,,COMPLETE
106,0.0,2026-07-08 12:25:18.594838,2026-07-08 12:25:23.775686,0 days 00:00:05.180848,-787.0782301152808,21.234241707243626,-371.74014982071185,474.2727903069127,-271.65762949853286,-375.43494175781626,436.1372900761295,-752.4824461092487,,COMPLETE
