V3,V6,V9,V10,V11,V12,V15,V18,distance_mm,hits,n_recorded,phase
-581.2187649505344,-903.9653452216547,169.55284126214391,93.23695051553182,781.922631950029,-809.8892923742037,110.3775969974347,-697.1919260558794,309.1258637858649,0,500,initial
-535.7788044292122,-686.6536696851575,282.91312995489704,139.27888877241622,226.1091316901141,-891.0357306219026,-79.32843816412617,-946.5597265364983,271.60584869805723,3,500,initial
-422.6916143173039,-833.5182511977772,355.368687831947,198.1259974633142,118.36633964032663,-750.1723063490662,334.503165714078,-814.6988913025841,276.5361508070405,5,500,initial
-668.9415783791765,-758.8637470901956,462.4677737585854,223.93577119093916,152.33476013453296,-678.7588574390537,192.55940413958933,-763.496471792703,243.12058116751658,2,500,initial
-469.0435304932254,-481.5336494498424,201.26219214815495,165.92274730833634,158.58368308657288,-595.7760215299146,49.95160210942436,-894.6143981325108,210.97970831348292,0,500,initial
-321.60776425822496,-988.5633577077485,6.717531786263066,250.60422928925536,71.64124245640399,-786.2292944281445,282.7483521069869,-509.77303360378806,300.4840819026757,4,500,initial
-720.9255557955878,-907.4232313298265,578.7418870166221,304.1616586714848,95.46572077469926,-721.3491478912669,144.3754952088675,-862.3982236098772,312.1299280750495,0,500,initial
-605.5966461908556,-665.2719289156901,267.7983310961012,190.8777361489826,173.28964523601823,-871.649459786394,8.649771642965675,-719.5770822891493,249.05086772066102,0,500,initial
-386.5812109911237,-581.1108024067706,54.65213169578851,272.9494803119234,207.362073243586,-932.7144743139058,478.77375998561706,-562.6750199338746,327.08511621233777,0,500,initial
-500.93459548014465,-708.41859701271,142.37635563599534,103.3693941597825,237.43988712974104,-811.8277427238429,91.15326378360396,-676.6239114311891,251.5914819732953,4,500,initial
-823.2421077090423,-809.9509901297379,240.31059869220655,71.45572179286881,128.80839930331504,-761.9273371559515,219.2259355011222,-831.5888974031457,89.85313753847635,10,500,initial
-828.7306933360755,-935.9890363197824,225.47788037089344,71.96063208758001,47.43179238225292,-772.3528543161507,401.78008204468233,-964.2884295324056,101.21707402082735,0,500,initial
-914.139231117727,-822.1001978842321,321.77628677919427,163.01553638044106,124.18041569512648,-832.0729127924623,242.00269488455933,-814.3184929576545,308.7693834803321,0,500,initial
-959.2016598786954,-741.5067882647214,248.11260967861702,38.18639446148727,354.5740285001145,-702.4343772627896,-88.20572317746428,-908.2066389173033,274.7593322814766,0,500,initial
871.8506921817518,-635.8538208485244,374.4822923890525,209.51013797720128,142.522491324609,-641.289122554688,549.2439607434221,-761.1002696298166,425.1810697962057,0,500,initial
-800.4394467271434,-856.5853253268366,212.1213857562748,126.60340638939275,76.86743195414869,-740.6650407655255,203.5870653206564,-359.8121118136621,116.30970002003129,1,500,initial
-169.7137202395404,-800.5145825670063,433.036953141708,247.94087474347904,104.96982530217589,-978.8551341891471,299.67509786511823,-828.3817234202995,327.3363499683382,0,500,initial
-425.83967936454417,-921.6516322329277,166.3556012025751,340.53907648978765,172.29723072256536,-685.4366225213591,61.78371534473558,-622.6666289698754,322.83331720683304,0,500,initial
-288.1437492020732,-988.0748609506522,277.69968172655365,150.89175089948333,242.5555007901994,-90.23129852089187,-42.67447423633894,-680.4749379945101,323.16094567374444,0,500,initial
-643.2053937909227,-478.9727798707363,518.8084747819961,186.7707384800789,307.0570259784924,-130.7167816009412,-174.79266575291012,-846.6682732082749,192.3201407121421,0,500,initial
-560.6028040827665,-718.1684620583507,99.74374399213056,75.75383720421065,135.1808534178613,-776.1631755935983,137.82407599120756,-459.10168056699126,171.72445569311847,8,500,initial
-711.2697787389102,-734.7545597471458,103.61948485298011,89.6056058013294,212.61362798535464,-795.4852514711534,143.9976374590442,-488.1877926491114,205.60818404260223,6,500,initial
-569.8616279795102,-737.7826539562799,111.49214979904303,76.75126729349498,137.33240137555515,-914.1254546358716,129.41092020303267,-442.77612042302326,224.19839421913414,4,500,initial
-735.7866131181835,-889.6979201460823,55.350715612833376,19.975108702382116,203.16624327680051,-779.2013722123088,15.981561443844953,-559.1903715856332,126.84683082058429,11,500,initial
-605.2554639582503,-875.8575064242914,38.81625746218175,17.530189631140253,66.25616982252825,-768.5256022421465,3.402816360009979,-357.69442524120484,59.19289513753008,24,500,initial
-777.5181797824861,-887.8865474097956,24.43073552313956,9.360696494448995,67.71104768781115,-760.146971782821,-2.4150908606274015,-375.8015774956964,8.83121653666082,2,500,initial
-612.2941052322847,-960.6110631898991,60.482283349369645,33.784936553269134,24.70940423598259,-722.1408561411896,-68.7726893184664,-275.97392515832394,69.16042580188078,4,500,initial
-849.1733296164508,-825.5261980324207,28.423187988608536,51.98254997741439,108.1352508090655,-766.3568215507744,-128.73452528629673,-541.2314393189669,3.5180650276924625,0,500,initial
